¿°»ö»öÂ÷ DL,¿°»ö»öÂ÷ DA,¿°»ö»öÂ÷ DB,¿°»ö»öÂ÷ DC,¿°»ö»öÂ÷ DH,¿°»ö»öÂ÷ DE
1.402431,-0.07987022,0.2555132,0.06365299,-0.2600278,1.427754
-0.04318619,-0.02196431,0.6147623,0.03267336,-0.6142862,0.6166686
12.72453,-1.963228,-1.810259,1.940723,-1.834361,13.00173
0.2431526,0.2516061,-3.862172,3.830362,-0.5549878,3.87799
0.6737862,0.1993477,-3.894216,3.854515,-0.5893819,3.9571
1.032806,-0.03953278,0.04003143,-0.03947449,-0.04008822,1.034338
1.150017,0.5714595,-2.682459,-2.485372,1.159776,2.974003
12.73621,-2.11367,-1.712829,1.902705,-1.944506,13.02354
1.630646,2.445013,-0.2168775,2.448905,0.1672998,2.946885
0.8417549,0.2781898,-3.523368,3.499851,-0.4924991,3.633189
0.6532822,0.9754601,0.2052665,0.9351263,0.3452468,1.19182
-0.1163635,0.2553167,-0.06710291,0.2629223,-0.0236918,0.2884959
2.462723,0.1294911,-1.441013,-1.444911,0.07429474,2.856272
-0.2369766,0.09942055,-0.9436607,-0.9483385,0.0321575,0.9780276
0.02278137,0.1087189,0.546217,0.5342646,-0.1572709,0.5573973
-4.120605,0.2439618,-1.815939,-1.832237,0.007628052,4.509605
1.643995,0.4790723,0.3181696,-0.2652912,0.5102575,1.741684
1.264555,0.4053116,0.7778225,-0.7306013,0.4852907,1.538956
0.182457,-0.7344484,4.590677,-4.61268,0.5804402,4.652636
0.3569012,-1.82353,0.1485767,0.6425209,-1.713039,1.864058
1.124537,-0.149861,-0.06158257,0.06445026,-0.14865,1.136148
-0.6880875,0.3035069,-3.523767,3.504424,-0.4775577,3.603126
-0.626873,0.3232956,-3.521222,3.505261,-0.4654745,3.591169
0.6583977,-0.9627941,1.774334,-1.893011,-0.7012436,2.123375
0.6397305,-0.9571316,1.699339,-1.817919,-0.706417,2.052586
-0.6626053,-0.3237724,0.272572,0.3907809,0.1625249,0.7862378
-0.9150009,-0.4164577,-1.046157,-1.094034,-0.2664028,1.450899
1.490326,-0.6565452,0.7301807,0.64012,0.7446218,1.784737
2.212891,-0.2588034,-0.3130436,-0.2944622,0.2797636,2.249858
-0.5632477,-0.01007318,-0.1492376,-0.1483593,0.01904854,0.5827703
