LOT번호,작업명,설비번호,단위중량(kg),투입중량(kg),투입액량(L),염색길이(m),공정진행시간(%),목표온도,지시온도,진행온도,목표대비 진행온도,지시대비 진행온도,포속1,포속2,포속3,포속4,염색색차 DE
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,0.39,30,30.0,10.3,0.3433333333333334,0.3433333333333334,16,1,16,1,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,0.58,30,30.0,10.3,0.3433333333333334,0.3433333333333334,68,2,16,1,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,0.77,30,30.0,10.2,0.3399999999999999,0.3399999999999999,69,3,138,2,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,0.97,30,30.0,10.8,0.36,0.36,69,3,138,2,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,1.16,30,30.0,10.8,0.36,0.36,69,3,138,2,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,1.35,40,30.0,10.9,0.2725,0.3633333333333333,69,3,138,2,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,1.55,40,30.0,11.1,0.2774999999999999,0.37,69,3,138,2,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,1.74,50,30.5,14.0,0.28,0.4590163934426229,69,3,138,2,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,1.93,50,33.5,34.3,0.6859999999999999,1.0238805970149254,51,4,51,3,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,2.13,50,37.0,37.0,0.74,1.0,68,5,51,3,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,2.32,80,40.0,40.3,0.5037499999999999,1.0074999999999998,69,6,139,4,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,2.51,100,40.0,39.4,0.3939999999999999,0.985,69,6,139,4,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,2.71,100,40.0,39.2,0.392,0.98,69,7,139,4,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,2.9,135,42.5,44.7,0.3311111111111111,1.051764705882353,71,8,139,4,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,3.09,135,45.9,47.6,0.3525925925925926,1.0370370370370372,69,9,211,5,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,3.29,80,49.3,49.6,0.62,1.0060851926977687,68,10,211,5,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,3.48,70,50.0,49.0,0.7,0.98,2,12,211,5,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,3.68,70,50.0,48.9,0.6985714285714285,0.978,2,12,211,5,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,3.87,70,50.0,48.5,0.6928571428571428,0.97,68,13,211,6,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,4.06,70,51.7,53.0,0.7571428571428571,1.0251450676982592,72,14,211,6,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,4.26,135,53.5,56.2,0.4162962962962963,1.0504672897196263,70,15,144,7,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,4.45,135,55.3,55.6,0.4118518518518518,1.0054249547920435,71,16,71,8,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,4.64,80,56.9,59.1,0.73875,1.038664323374341,71,17,71,9,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,4.84,80,58.7,59.1,0.73875,1.006814310051107,71,17,71,9,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,5.03,70,60.5,63.7,0.91,1.052892561983471,71,18,71,9,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,5.22,70,62.3,62.5,0.8928571428571429,1.0032102728731942,70,19,143,10,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,5.42,70,64.1,66.6,0.9514285714285714,1.0390015600624023,71,20,143,10,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,5.61,70,65.7,65.9,0.9414285714285716,1.0030441400304415,71,21,143,10,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,5.8,135,67.6,68.0,0.5037037037037037,1.0059171597633136,70,22,143,10,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,6.0,135,69.4,72.3,0.5355555555555556,1.04178674351585,70,22,143,10,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,6.19,80,71.2,71.1,0.8887499999999999,0.9985955056179774,71,23,346,10,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,6.38,80,73.0,73.2,0.915,1.0027397260273974,69,24,407,10,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,6.58,70,74.7,77.3,1.1042857142857143,1.034805890227577,71,25,427,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,6.77,70,76.5,76.5,1.0928571428571427,1.0,69,26,427,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,6.96,70,78.3,78.7,1.1242857142857143,1.0051085568326947,71,27,427,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,7.16,70,79.9,81.4,1.162857142857143,1.018773466833542,70,28,427,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,7.35,135,80.9,81.0,0.6,1.0012360939431395,70,28,427,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,7.54,135,81.9,84.2,0.6237037037037038,1.028083028083028,69,29,337,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,7.74,80,83.0,83.7,1.04625,1.008433734939759,68,30,399,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,7.93,80,84.0,87.0,1.0875,1.0357142857142858,71,31,460,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,8.12,70,84.9,86.3,1.2328571428571429,1.0164899882214369,71,32,515,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,8.32,70,85.9,86.0,1.2285714285714286,1.0011641443539,70,33,576,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,8.51,40,86.9,87.3,2.1825,1.004602991944764,70,33,637,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,8.7,40,88.0,88.9,2.2225,1.0102272727272728,70,34,700,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,8.9,30,88.9,89.6,2.9866666666666664,1.0078740157480313,71,35,758,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,9.09,30,90.0,91.1,3.036666666666666,1.012222222222222,70,36,819,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,9.28,30,90.9,91.0,3.033333333333333,1.001100110011001,70,37,875,11,0.7530965
F2201280039,원단검사,FCM08,324,44.6,1000,41.0,9.48,30,91.9,92.0,3.066666666666667,1.001088139281828,70,38,924,12,0.7530965
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,0.63,30,30.0,20.1,0.67,0.67,20,1,18,1,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,0.94,30,30.0,16.9,0.5633333333333332,0.5633333333333332,64,2,49,2,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,1.25,30,30.0,18.4,0.6133333333333333,0.6133333333333333,64,2,49,2,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,1.57,30,30.0,18.6,0.62,0.62,64,2,49,2,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,1.88,40,30.0,18.8,0.47,0.6266666666666667,64,2,49,2,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,2.19,40,30.0,19.0,0.475,0.6333333333333333,64,2,49,2,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,2.51,50,30.0,19.1,0.382,0.6366666666666667,64,2,49,2,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,2.82,50,30.0,19.2,0.384,0.64,64,2,49,2,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,3.13,50,30.1,18.8,0.376,0.6245847176079734,64,2,49,2,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,3.45,130,30.8,19.7,0.1515384615384615,0.6396103896103895,39,3,8,3,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,3.76,130,30.8,24.7,0.19,0.8019480519480519,62,4,47,5,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,4.08,80,32.5,29.6,0.37,0.9107692307692308,59,5,46,6,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,4.39,70,37.5,34.5,0.4928571428571429,0.92,60,6,45,7,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,4.7,70,40.0,37.4,0.5342857142857143,0.935,57,7,44,8,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,5.02,70,40.0,39.5,0.5642857142857143,0.9875,56,8,43,10,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,5.33,70,40.0,37.6,0.5371428571428571,0.94,55,9,43,11,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,5.64,70,40.0,37.8,0.5399999999999999,0.945,63,10,43,11,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,5.96,130,40.6,38.4,0.2953846153846153,0.9458128078817734,63,10,43,11,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,6.27,130,45.8,42.9,0.33,0.9366812227074236,56,12,27,14,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,6.58,80,50.0,47.3,0.5912499999999999,0.946,56,12,46,15,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,6.9,80,50.0,46.2,0.5775,0.924,53,14,43,16,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,7.21,70,50.0,46.5,0.6642857142857143,0.93,57,15,42,17,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,7.52,70,50.0,45.6,0.6514285714285715,0.912,57,16,96,18,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,7.84,70,50.0,46.0,0.6571428571428571,0.92,61,17,48,19,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,8.15,70,51.6,49.7,0.7100000000000001,0.9631782945736436,53,18,44,20,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,8.46,70,53.2,52.5,0.75,0.986842105263158,53,19,41,22,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,8.78,130,54.7,54.4,0.4184615384615384,0.9945155393053016,53,20,42,23,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,9.09,130,56.3,56.0,0.4307692307692308,0.994671403197158,52,21,42,24,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,9.4,80,57.7,58.1,0.7262500000000001,1.0069324090121317,53,22,40,26,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,9.72,80,59.3,58.9,0.73625,0.9932546374367622,51,23,40,26,2.01561
F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,10.03,70,60.8,60.5,0.8642857142857143,0.9950657894736844,50,24,41,28,2.01561
